Artikelname;EAN;SKU;Brand;MwSt;EK netto;empfl. VK brutto;Inhalt;Beschreibung;Anwendung;INCI
I MASK hydrating hydrogel sheet mask;819984014312;MK-201N;IMAGE Skincare;19;21,50 €;43,00 €;5er Box;"Revolutionäre Auflegemaske mit mineralreichem Onsen-Sui und Jeju-Vulkanwasser zur intensiven
Versorgung und Hydratation feuchtigkeitsarmer und müde wirkender Haut in nur 10 Minuten.
Hyaluronsäure nährt die Haut optimal in der leicht anzuwenden Maske.";"Vor der Anwendung die Haut gründlich reinigen. Maske aus der Verpackung nehmen, auseinanderklappen und
mit der Gelseite nach unten auf das Gesicht auflegen. Raue, obere Schicht abziehen und Gelmaske glattstreichen.
5 - 10 Minuten auf der Haut belassen und abnehmen. Übrige Essenz in die Haut einmassieren.
Anwendung 2-3 Mal pro Woche empfohlen.";"Aqua/Water/Eau, Glycerin, 1,2-Hexanediol, Allantoin, Butylene Glycol, Phenoxyethanol, Polysorbate 20, Chondrus Crispus Extract, Carbomer, Niacinamide, Aloe Barbadensis Leaf
Juice, Anthemis Nobilis (Chamomile) Flower Extract, Camellia Sinensis (Green Tea) Leaf Extract, Tromethamine, Ethylhexylglycerin, Hydroxyethylcellulose, Ceratonia Siliqua (Carob)
Gum, Potassium Chloride, Dipotassium Phosphate, Sodium Citrate, Citrus Aurantium Dulcis (Orange) Peel Oil, Disodium Edta, Panax Ginseng Root Extract, Limonene, Glucose, Calcium
Lactate, Glucomannan, Glycine, Serine, Glyceryl Linoleate, Glutamic Acid, Beta-Glucan, Citrus Aurantium Dulcis (Orange) Fruit Extract, Hamamelis Virginiana (Witch Hazel) Extract,
Solanum Lycopersicum (Tomato) Fruit Extract, Wine Extract, Aspartic Acid, Leucine, Sodium Hyaluronate, Centella Asiatica Extract, Magnesium Ascorbyl Phosphate, Portulaca Oleracea
Extract, Squalane, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Proline, Threonine, Valine, Isoleucine, Glyceryl Linolenate, Glyceryl Arachidonate, Histidine, Cysteine, Methionine,
Citric Acid, Potassium Sorbate, Hexadecane, Tetradecane, Sodium Benzoate, Dodecane, Octadecane, Eicosane, Bht, Ascorbyl Palmitate."
I MASK firming transformation mask;819984014374;MK-106N;IMAGE Skincare;19;31,00 €;62,00 €;57 g;"Der „Zen-Meister“ für Ihre Haut zur Bekämpfung von sichtbaren Anzeichen von Stress und Müdigkeit.
Blau schimmernde Maske wirkt Stressfalten entgegen und hinterlässt die Haut strahlend schön.
Ein exklusiver Mix aus hochwertigen Inhaltsstoffen verleiht der Haut ein sanftes und glattes Erscheinungsbild.";"Eine dünne Schicht auf die gereinigte Haut auftragen, 5-15 Minuten einwirken lassen und
mit feuchten Fingerspitzen massieren. Mit warmem Wasser abspülen.
Anwendung 3-5 Mal wöchentlich oder je nach Bedarf.";"Water/Aqua/Eau, Aloe Barbadensis Leaf Juice, Glyceryl Polymethacrylate, Glycerin, Bentonite, Isododecane, Jojoba Esters, Synthetic Fluorphlogopite, Butylene Glycol, Kaolin, Titanium
Dioxide (Ci 77891), Magnesium Aluminum Silicate, Phenoxyethanol, Propanediol, Perfluorohexane, Zea Mays Strach, Hydroxyethyl Acrylate/Sodium Acryloldimethyl Taurate Copolymer,
Squalane, Methicone, Polymethylsilsesquioxane, Alcohol, Citrus Aurantium Dulcis (Orange) Peel Oil, Perfluorodecalin, Ethylhexylglycerin, Perfluoromethylcyclopentane, Polysorbate
60, Silica Dimethyl Silylate, Polyester-1, Lecithin, Sorbitan Isostearate, Olus Oil, Biosaccharide Gum-1, Sodium Hyaluronate, Tocopherol, Glycosaminoglycans, Vitex Agnus Castus Extract,
Ascorbyl Tetraisopalmitate, Cyclodextrin, Benzoic Acid, Dehydroacetic Acid, Limonene, Mica [+/-: Ci 77007, Ci 77510]"
I MASK purifying probiotic mask;819984014367;MK-107N;IMAGE Skincare;19;26,50 €;53,00 €;57 g;"Ein „grüner Smoothie“ für die Haut mit probiotischer Mischung auf Joghurtbasis zur Pflege der Haut
und zum Ausgleich der natürlichen Flora.
Hilft, Herausforderungen wie Trockenheit und Ungleichgewicht entgegen zu wirken.";"Eine dicke Schicht auf die gereinigte Haut auftragen, 10-20 Minuten einwirken lassen und mit warmem Wasser abspülen.
Anwendung 3-5 Mal wöchentlich oder je nach Bedarf.";"Aqua/Water/Eau, Kaolin, Glycerin, Propanediol, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Brassica Campestris (Rapseed) Seed Oil, Hypnea Musciformis Extract, Cetyl Alcohol,
Stearic Acid, Ci 77288, Arachidyl Alcohol, Ceteareth-20, Sargassum Filipendula Extract, Inulin, Lactococcus Ferment Lysate, Sorbitol, Behenyl Alcohol, Linum Usitatissimum (Linseed)
Seed Oil, Carrageenan, Citrullus Lanatus Fruit Extract, Arachidyl Glucoside, Gelidiella Acerosa Extract, Xanthan Gum, Lens Esculenta Fruit Extract, Vitis Vinfera (Grape) Seed Oil, Yogurt,
Citrus Aurantium Dulcis (Orange) Peel Oil, Pyrus Malus (Apple) Fruit Extract, Ethylhexylglycerin, Sodium Lactate, Tocopherol, Epilobium Angustifolium Flower/Leaf/Stem Extract,
Charcoal Powder, Citrus Aurantium Dulcis (Orange) Peel Extract, Santalum Album Extract, Cucumis Melo Cantalupensis Fruit Extract, Prunus Armeniaca (Apricot) Fruit Extract, Sodium
Pca, Glucose, Lactic Acid, Coffea Arabica Seed Extract, Camellia Sinensis Leaf Extract, Lycium Barbarum Fruit Extract, Passiflora Incarnata Fruit Extract, Citrus Grandis (Grapefruit)
Fruit Extract, Cocos Nucifera (Coconut) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Spirulina Maxima Extract, Vanilla Planifolia Fruit Extract, Ananas Sativus (Pineapple)
Fruit Extract, Euterpe Oleracea Fruit Extract, Citrus Limon Peel Extract, Morinda Citrifolia Fruit Extract, Rubus Idaeus Fruit Extract, Punica Granatum Juice Extract, Rose Extract, Butter
Extract, Cananga Odorata Flower Extract, Garcinia Mangostana Fruit Extract, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Sodium Chloride,
Silybum Marianum Extract, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Sodium Metabisulfite,
Limonene, Hydroxycitronellal, [ +/-: Ci 77491, Ci 77492, Ci 77499]"
BIOME+™ cleansing comfort balm;819984017825;B-100;IMAGE Skincare;19;19,50 €;39,00 €;118 ml;"Hautpflegender Reinigungsbalsam mit zertifiziertem mikrobiom-freundlichen Squalan, der sanft Make-up,
Verunreinigungen und Schmutz entfernt und die Haut mit Feuchtigkeit versorgt hinterlässt. Pflegende Öle auf pflanzlicher Basis versorgen trockene Haut intensiv mit Feuchtigkeit und beruhigen sie. Fermentiertes Squalan aus Zuckerrohr spendet
Feuchtigkeit und unterstützt die Feuchtigkeitsbarriere der Haut
";Auf die trockene Haut auftragen und 1 Minute einmassieren. Mit Wasser oder einem Tuch abnehmen.;"Aqua/Water/Eau, Dicaprylyl Carbonate, Ethylhexyl Stearate, Glycerin, Squalane, Propanediol, Pentylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Chlorphenesin, Withania
Somnifera Root Extract, Helianthus Annuus (Sunflower) Seed Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Sodium Hydroxide, Limonene, Trisodium Ethylenediamine Disuccinate,
Lactic Acid, 1,2-Hexanediol, Caprylyl Glycol, Tocopherol, Citrus Nobilis (Mandarin Orange) Peel Oil, Helianthus Annuus Leaf/Stem Extract, Barosma Betulina Leaf Oil, Vanilla Planifolia
Fruit Extract."
BIOME+™ dew bright serum;819984017832;B-101;IMAGE Skincare;19;33,00 €;66,00 €;30 ml;"Feuchtigkeitsspendendes Hybrid-Ölserum, das gezielt bei unebenem Hautton eingesetzt werden kann und
einen strahlend schönen Glow verleiht. Zertifiziertes, mikrobiom-freundliches Squalan aus Zuckerrohr unterstützt die Verbesserung der Hautelastizität und fördert ein zartes Hautbild";Morgens und/oder abends auf die gereinigte Haut auftragen.;"Aqua/Water/Eau, Glycerin, Propanediol, Squalane, 2,3-Butanediol, Niacinamide, Triheptanoin, Coco-Caprylate/Caprate, Pentylene Glycol, C13-15 Alkane, Polyacrylate Crosspolymer-6,
Chlorphenesin, Triethyl Citrate, Centella Asiatica Leaf Extract, Carbomer, Ocimum Sanctum Leaf Extract, Trisodium Ethylenediamine Disuccinate, Sodium Hyaluronate Crosspolymer,
Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Linalool, Camellia Sinensis Leaf Extract, Citrus Limon (Lemon) Peel Extract, Pyrus Malus (Apple) Fruit Extract, Sodium
Hydroxide, Amyl Cinnamal, Limonene, Rosmarinus Officinalis (Rosemary) Leaf Extract, Rubus Idaeus (Raspberry) Fruit Extract, Salvia Officinalis (Sage) Leaf Extract, Salvia Sclarea
(Clary) Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Vanilla Planifolia Fruit Extract, Tocopherol, Helianthus Annuus Leaf/Stem Extract."
BIOME+™ smoothing cloud crème;819984017849;B-102;IMAGE Skincare;19;34,50 €;69,00 €;50 g;Leichte, sehr feuchtigkeitsspendende Crème, die die Hauttextur geschmeidig macht und zudem die Sichtbarkeit der Poren minimiert. Zertifiziertes, mikrobiom-freundliches, fermentiertes Squalan aus Zuckerrohr hilft die Feuchtigkeitsbarriere der Haut zu unterstützen und die Hautstruktur und -festigkeit zu verbessern Adaptogener Silberohrextrakt (Snow Mushroom) und Hyaluronsäure helfen, die Haut nachhaltig mit Feuchtigkeit zu versorgen und eine optimale Hautbarriere zu unterstützen.;Morgens oder abends auf die gereinigte Haut auftragen.;"Aqua/Water/Eau, Caprylic/Capric Triglyceride, Hydrogenated Vegetable Oil, Propanediol, Squalane, Glycerin, Pentylene Glycol, Jojoba Esters, Pentaerythrityl Distearate, Sodium
Polyacrylate, Cetearyl Alcohol, Sodium Stearoyl Glutamate, Chlorphenesin, Helianthus Annuus (Sunflower) Seed Oil, Carbomer, Tremella Fuciformis Sporocarp Extract, Citrus Aurantium
Dulcis (Orange) Peel Oil, Limonene, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hydrolyzed Hyaluronic Acid, Sorbitan Trioleate, Trisodium Ethylenediamine Disuccinate, Tocopherol,
Cistus Incanus Flower/Leaf/Stem Extract, Sodium Hydroxide, Phenylpropanol, Citrus Nobilis (Mandarin Orange) Peel Oil, Apium Graveolens (Celery) Seed Extract, 1,2-Hexanediol, Linum
Usitatissimum (Linseed) Seed Extract, Helianthus Annuus Leaf/Stem Extract, Barosma Betulina Leaf Oil, Vanilla Planifolia Fruit Extract."
BODY SPA Cell.U.Lift firming body crème;819984011380;BS-200;IMAGE Skincare;19;47,00 €;94,00 €;142 g;"Diese neuartige, straffende Körpercrème wurde entwickelt, um erschlaffter Haut auf Zellebene zu helfen.
Die Crème unterstützt die Stärkung der Kollagenfasern und die Rektion des Umfangs von Fettzellen und
des darunter liegenden Gewebes. Die Haut wird genährt und mit Wirkstoffen und Feuchtigkeit versorgt.
Der leichte und frische Minzduft sorgt für einen revitalisierten Start in den Tag!";"Auf die gereinigte und exfolierte Haut auftragen und einmassieren.
NICHT IM GESICHT ANWENDEN!";"Aloe Barbadensis Leaf Extract, Water/Aqua/Eau, Glycerin, Glyceryl Stearate Se, Limnanthes Alba (Meadowfoam) Seed Oil, Prunusamygdalus Dulcis (Sweet Almond) Oil, Propyleneglycol,
Butylene Glycol, Cetearyl Alcohol,Sorbitol, Dimethicone, Phenoxyethanol, Ilexparaguariensis Leaf Extract, Butyrospermumparkii (Shea) Butter, Cetyl Alcohol,Methylpropanediol, Phenyl
Trimethicone, Imperata Cylindrica Root Extract, Crambeabyssinica Seed Oil, Coffea Arabica Seed Oil, Coffea Arabica Seed Extract, Menthol, Menthaarvensis Leaf, Oligopeptide-5,
Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminomethyl Propanol, Brassica Campestris Sterols, Peg-60 Almond Glycerides, Xanthan Gum,Ethylhexylglycerin, Tocopherol, Soy Bean
Oil, Allantoin, Disodium Edta, Peg-8, Hibiscus Sabdariffa Flower Extract, Cetyl Hydroxyethylcellulose, Methylsilano Carboxymethyl Theophylline Alginate, Sodium Benzoate, Carbomer,
Sodium Hyaluronate, Potassium Sorbate, Sodium Dehydroacetate, Sorbic Acid, Undecylenic Acid."
BODY SPA rejuvenating body lotion;819984011397;BS-201;IMAGE Skincare;19;23,00 €;46,00 €;170 g;"Ultra-feuchtigkeitsspendende Körperlotion mit hohem Gehalt an Glykolsäure, Antioxidantien und Peptiden
für Peeling und Verjüngung der Haut.
Macht die Haut frisch, geschmeidig und strahlend.";"Morgens und abends oder je nach Bedarf auf die gereinigte Haut auftragen und einmassieren.
Nicht auf frisch rasierter Haut anwenden!";"Water/Aqua/Eau, Butylene Glycol, Glycerin, Glycolic Acid, Caprylic/Capric Triglyceride, Glyceryl Stearate, Dimethicone, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Sorbitan
Stearate, Peg-100 Stearate, Linoleic Acid, Macadamia Integrifolia Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Stearic Acid, Hydroxyethylcellulose, Phenoxyethanol, Sodium
Hydroxide, Caprylyl Glycol, Chlorphenesin, Lecithin, Tetrahexyldecyl Ascorbate, Allantoin, Disodium Edta, Retinyl Palmitate, Citrus Aurantium Dulcis (Orange) Peel Extract, Lavandula
Angustifolia (Lavender) Extract, Linalool, Limonene, Linolenic Acid, Citrus Nobilis (Mandarin Orange) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Alcohol, Calcium Phosphate,
Vanilla Planifolia Fruit Extract, Camellia Sinensis Leaf Extract, Cupressus Sempervirens Leaf/Stem Extract, Salvia Officinalis (Sage) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf
Extract, Pyrus Malus (Apple) Fruit Extract, Citrus Auranitum Bergamia (Bergamot) Fruit Extract, Sodium Carbonate, Sodium Chloride, Hexanoyl Dipeptide-3 Norleucine Acetate, Biotin,
Tocopherol."
BODY SPA exfoliating body scrub;819984011410;BS-203;IMAGE Skincare;19;16,25 €;32,50 €;113,4 g;"Polieren Sie Ihre Haut mit diesem Hochleistungskörperpeeling zur Perfektion. Ein doppeltes Peeling-System mit
hautverbessernden Walnussperlen für eine exfolierende Wirkung. Beseitigt trockene, fahle Oberflächenzellen,
ohne dabei den natürlichen pH-Wert der Haut zu beeinträchtigen. Fördert die natürliche Zellerneuerung und
verhilft der Haut zu Geschmeidigkeit und strahlendem Aussehen.";"2 Minuten in die feuchte Haut einmassieren, gründlich entfernen.
Zur Verjüngung und optimalen Exfoliation der Haut ist die tägliche Anwendung empfohlen.";"Water/Aqua/Eau, Glycerin, Arcylates Copolymer, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Juglans Regila (Walnut) Shell Powder, Aloe Barbadensis Leaf Extract, Polysorbate
20, Aminomethyl Propanol, Phenoxyethanol, Sodium Chloride, Caprylyl Glycol, Luffa Cylindrica Fruit Powder, Camellia Sinensis Leaf Extract, Ethylhexylglycerin, Hexylene Glycol,
Benzoic Acid, Disodium Edta, Ananas Sativus (Pineapple) Fruit Extract, Vanilla Planifolia Fruit Extract, Caprylic/Capric Triglyceride, Lavandula Angustifolia (Lavender) Flower/Leaf/
Stem Extract, Pyrus Malus (Apple) Fruit Extract, Coffea Arabica (Coffee) Leaf/Seed Extract, Prunus Armeniaca (Apricot) Fruit Extract, Cocos Nucifera (Coconut) Fruit Extract, Cucumis
Melo Cantalupensis Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Elettaria Cardamomum Seed Extract, Vitis Vinifera (Grape) Seed Extract, Carica Papaya (Papaya) Fruit Extract,
Citrus Grandis (Grapefruit) Fruit Extract, Sodium Hydroxide, Malic Acid, Lactic Acid, Glycolic Acid, Tocopherol, Glycine Soja (Soybean) Oil."
IMAGE MD® restoring facial cleanser;819984013438;MD-208;IMAGE Skincare;19;19,50 €;39,00 €;118 ml;"Ein täglicher AHA-/BHA-Reiniger, der sanft abgestorbene Hautzellen abträgt, effektiv Make-up entfernt und den Zellaustausch
anregt um die Hautverjüngung zu fördern. Bereitet die Haut optimal auf die tiefere Penetration aktiver Wirkstoffe in die Haut
vor. ";"Eine großzügige Menge mit angefeuchteten Händen auf das Gesicht auftragen und 30 Sekunden einmassieren. Mit lauwarmem
Wasser abnehmen und bei Bedarf wiederholen. Für optimale Resultate ist die Anwendung morgens und abends empfohlen.";"Aqua/Water/Eau, Sodium Lauroyl Methyl Isethionate, Glycerin, Peg-18 Glyceryl Oleate/Cocoate, Peg-120 Methyl Glucose Dioleate, Cocamidopropyl Hydroxysultaine, Cocamidopropyl
Betaine, Phenoxyethanol, Citrus Sinensis Peel Oil Expressed, Limonene, Disodium Lauryl Sulfosuccinate, Panthenol, Trisodium Ethylenediamine Disuccinate, Caprylyl/Capryl Glucoside,
Lauryl Glucoside, Menthol, Sodium Benzoate, Ethylhexylglycerin, Saccharum Officinarum (Sugarcane) Extract, Aloe Barbadensis Leaf Juice, Lactic Acid, Glycolic Acid, Tocopheryl
Acetate, Salicylic Acid, Camellia Sinensis Leaf Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Rosmarinus
Officinalis (Rosemary) Leaf Extract, Tocopherol, Citric Acid, Potassium Sorbate."
IMAGE MD® restoring youth serum;819984013452;MD-210;IMAGE Skincare;19;44,50 €;89,00 €;30 ml;"Die hochkonzentrierte Zusammensetzung aus Peptiden und pflanzlich gewonnenen Stammzellextrakten korrigiert
und verringert die Anzeichen feiner Linien und Falten und resultiert in festerer und elastischerer Haut.";Für maximale Resultate morgens und abends auf die gereinigte Haut auftragen.;"Water/Aqua/Eau, Glycerin, Tetrahexyldecyl Ascorbate, Cetearyl Olivate, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Sorbitan Olivate, Imperata Cylindrica Root Extract,
Dimethicone, Phenoxyethanol, Yeast Extract, Di-Ppg-2 Myreth-10 Adipate, Butylene Glycol, Cetyl Alcohol, Citrus Sinensis (Orange) Peel Oil Expressed, Ethylhexyl Methoxycinnamate,
Glyceryl Stearate, Peg-100 Stearate, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Stearic Acid, Limonene, Panthenol, Sodium Ascorbyl Phosphate, Xanthan Gum, Glycine Soja
(Soybean) Sterols, Linoleic Acid, Phospholipids, Ethylhexylglycerin, Peg-8, Aloe Barbadensis Leaf Extract, Magnesium Ascorbyl Phosphate, Phyllanthus Emblica Fruit Extract, Ppg-12/
Smdi Copolymer, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Malus Domestica Fruit Cell Culture Extract, Leuconostoc/Radish Root Ferment Filtrate, Carbomer, Potassium Sorbate,
Dipotassium Glycyrrhizate, Magnesium Aluminum Silicate, Tocopheryl Acetate, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Hydrolyzed Soy Protein, Palmitoyl Tripeptide-5, Soy
Amino Acids, Centella Asiatica Extract, Glyceryl Acrylate/Acrylic Acid Copolymer, Sodium Benzoate, Olea Europaea (Olive) Leaf Extract, Sodium Hyaluronate, Sodium Lactate, Echinacea
Purpurea Extract, Camellia Sinensis Leaf Extract, Lecithin, Polysorbate 20, Glycolic Acid, Vitis Vinifera (Grape) Seed Extract, Hydrolyzed Rice Protein, Linalool, Corallina Officinalis
Extract, Spiraea Ulmaria Flower Extract, Acetyl Hexapeptide-8, Bht, Palmitoyl Tripeptide-1, Darutoside, Palmitoyl Tetrapeptide-7, Benzyl Alcohol."
IMAGE MD® restoring youth repair crème;819984013469;MD-211;IMAGE Skincare;19;49,50 €;99,00 €;30 ml;"Nächste Generation einer reparierenden Nachtcrème mit einer fortschrittlichen Liefertechnologie zur Verbesserung
des Transports von aktiven Wirkstoffen in die Haut zur ultimativen Hautrevitalisierung. Strafft die Haut, reduziert
feine Linien und Falten und lässt sie jugendlicher erscheinen.";Abends direkt auf die gereinigte Haut auftragen.;"Aqua/Water/Eau, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Dimethicone, C12-15 Alkyl Benzoate, Tetrahexyldecyl Ascorbate, Glyceryl Stearate, Peg-100 Stearate, Glycolic
Acid, Phenoxyethanol, Butylene Glycol, Cetyl Alcohol, Stearic Acid, Ceteareth-20, Limonene, Yeast Extract, Ppg-12/Smdi Copolymer, Citrus Sinensis Peel Oil Expressed, Retinol, Stearyl
Alcohol, Magnesium Aluminum Silicate, Peg-20, Polysorbate 60, Polysorbate 20, Dipotassium Glycyrrhizate, Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Kojic Acid,
Sucrose Tristearate, Citrus Nobilis (Mandarin Orange) Oil, Xanthan Gum, Ethylhexylglycerin, Tocopheryl Acetate, Bht, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Hydrolyzed
Soy Protein, Palmitoyl Tripeptide-5, Potassium Sorbate, Soy Amino Acids, Rumex Occidentalis Extract, Sodium Benzoate, Sodium Hyaluronate, Bha, Citric Acid, Tocopherol, Camellia
Sinensis Leaf Extract, Linalool, Citral."
IMAGE MD® restoring daily defense moisturizer SPF50;819984016910;MDEU-223;IMAGE Skincare;19;27,50 €;55,00 €;57 g;"Hochkonzentrierte Zusammensetzung aus Peptiden und pflanzlich gewonnenen Stammzellextrakten
zur Korrektur und Verbesserung der Anzeichen von feinen Linien und Falten für festere und elastischere Haut. Stark feuchtigkeitsspendend mit integriertem Lichtschutz.";"Morgens als täglichen Feuchtigkeitsspender und Schutz vor den schädlichen Auswirkungen der Sonne
auf die gereinigte Haut auftragen.
Bei starker Sonnenexposition oder je nach Bedarf, Anwendung alle zwei Stunden wiederholen.";"Cyclopentasiloxane, Aqua/Water/Eau, Zinc Oxide [Nano], C12-15 Alkyl Benzoate, Titanium Dioxide [Nano], Dimethicone, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Glycerin,
Aluminum Hydroxide, Stearic Acid, Dimethicone/Peg-10/15 Crosspolymer, Helianthus Annuus (Sunflower) Seed Oil, Sodium Chloride, Peg/Ppg-18/18 Dimethicone, Dimethicone/
Polyglycerin-3 Crosspolymer, Polyglyceryl-4 Isostearate, Cetyl Peg/Ppg-10/1 Dimethicone, Hexyl Laurate, Phenoxyethanol, Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl
Dimethicone, Limonene, Butylene Glycol, Citrus Aurantium Dulcis (Orange) Peel Oil, Dimethicone/Vinyl Dimethicone Crosspolymer, Cetearyl Olivate, Cyclohexasiloxane, Caprylyl Glycol,
Ethylhexyl Palmitate, Sorbitan Olivate, Bis(Cyano Butylacetate) Anthracenediylidene, Peg-8, Ethylhexylglycerin, Hexylene Glycol, Tocopheryl Acetate, Citrus Nobilis (Mandarin Orange)
Peel Oil, Tocopherol, Isomalt, Dipropylene Glycol, Benzoic Acid, Hydrolyzed Vegetable Protein, Adenosine Triphosphate, Sodium Chondroitin Sulfate, Propylene Glycol, Alcohol, Sodium
Citrate, Ascorbyl Palmitate, Vanilla Planifolia Fruit Extract, Silica Dimethyl Silylate, Lecithin, Ectoin, Pentylene Glycol, Ascorbic Acid, Pvp,Citric Acid, Caesalpinia Spinosa Fruit Pod Extract,
Polygonum Aviculare Extract, Disodium Edta, Sodium Lactate, Carbomer, Barosma Betulina Leaf Oil, Sodium Benzoate, Sodium Hyaluronate, Polysorbate 20, Potassium Sorbate, Vitis
Vinifera (Grape) Fruit Cell Extract, Helianthus Annuus (Sunflower) Sprout Extract, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Palmitoyl Tripeptide-1, Cyclotetrapeptide-24
Aminocyclohexane Carboxylate, Sodium Ferrocyanide Decahydrate, Palmitoyl Tetrapeptide-7."
